Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-01-21 08:00:00,101989.06000000,103973.02000000,101740.82000000,103758.25000000,6235.66073000,2025-01-21 11:59:59.999,641480633.68118350,830654,3051.16335000,314052803.69796530,0
2025-01-21 12:00:00,103758.25000000,105320.00000000,102803.43000000,103943.00000000,9899.25066000,2025-01-21 15:59:59.999,1029460867.07758390,1387815,4940.91630000,513901362.20144950,0
2025-01-21 16:00:00,103942.99000000,107240.81000000,103822.02000000,107031.34000000,9757.23378000,2025-01-21 19:59:59.999,1034437933.99261100,1399062,5082.92047000,538794870.73136450,0
2025-01-21 20:00:00,107031.34000000,107199.99000000,105420.00000000,106143.82000000,4515.02328000,2025-01-21 23:59:59.999,480032253.41118460,755839,2299.98151000,244601995.89320720,0
2025-01-22 00:00:00,106143.82000000,106394.46000000,105448.99000000,105600.01000000,3019.25833000,2025-01-22 03:59:59.999,319666599.09080450,535129,1389.42513000,147113246.86979670,0
2025-01-22 04:00:00,105600.01000000,105952.00000000,105043.88000000,105084.77000000,2894.59275000,2025-01-22 07:59:59.999,305453369.52764100,412096,1284.09998000,135531256.91602440,0
2025-01-22 08:00:00,105084.77000000,105464.83000000,104647.75000000,105100.39000000,3008.01462000,2025-01-22 11:59:59.999,315901593.00725690,485074,1311.00798000,137685823.20700520,0
2025-01-22 12:00:00,105100.38000000,105584.23000000,103662.58000000,104180.01000000,6007.84866000,2025-01-22 15:59:59.999,627899413.19117670,1210571,2854.80869000,298392068.38240760,0
2025-01-22 16:00:00,104180.01000000,104754.64000000,103339.12000000,104630.00000000,4362.47109000,2025-01-22 19:59:59.999,454226377.51700760,1054260,2223.35088000,231556473.09916840,0
2025-01-22 20:00:00,104630.00000000,104830.12000000,103611.66000000,103706.66000000,2956.50709000,2025-01-22 23:59:59.999,307997288.32469200,666905,1438.90040000,149894463.51325610,0
2025-01-23 00:00:00,103706.66000000,103819.99000000,102100.00000000,102461.25000000,4960.28164000,2025-01-23 03:59:59.999,510050641.84911350,670198,2250.75369000,231466178.07294740,0
2025-01-23 04:00:00,102461.24000000,102968.31000000,101575.50000000,102710.27000000,3922.18053000,2025-01-23 07:59:59.999,401074797.10729680,586937,1914.78804000,195901929.05110220,0
2025-01-23 08:00:00,102710.28000000,102724.94000000,101262.28000000,101944.49000000,3213.96175000,2025-01-23 11:59:59.999,327750359.44827690,579337,1525.31921000,155577360.40103120,0
2025-01-23 12:00:00,101944.50000000,106050.86000000,101281.62000000,105263.52000000,17241.02811000,2025-01-23 15:59:59.999,1793739429.29719920,1931073,8847.54680000,920650373.67336740,0
2025-01-23 16:00:00,105263.52000000,106850.00000000,103399.98000000,103770.04000000,10175.26517000,2025-01-23 19:59:59.999,1073142531.41948970,1418924,5035.72279000,531266562.11611780,0
2025-01-23 20:00:00,103770.05000000,106421.03000000,102195.70000000,103910.34000000,14440.40311000,2025-01-23 23:59:59.999,1505003089.01026230,1774914,7471.79593000,778962547.25731750,0
2025-01-24 00:00:00,103910.35000000,104298.00000000,102750.00000000,103891.75000000,3785.23369000,2025-01-24 03:59:59.999,391922831.88092430,708199,1842.91148000,190816880.76215210,0
2025-01-24 04:00:00,103891.75000000,105355.00000000,103804.77000000,105046.80000000,3142.49691000,2025-01-24 07:59:59.999,329147151.32635570,691715,1648.31953000,172648699.10590380,0
2025-01-24 08:00:00,105046.79000000,105759.00000000,104922.41000000,105420.10000000,2980.39420000,2025-01-24 11:59:59.999,313980597.47229260,569422,1485.28350000,156462712.32149460,0
2025-01-24 12:00:00,105420.11000000,106321.66000000,104669.17000000,105859.98000000,4922.31503000,2025-01-24 15:59:59.999,519530559.95371320,1118989,2524.75366000,266523147.39787880,0
2025-01-24 16:00:00,105859.99000000,107120.00000000,105589.00000000,105760.94000000,5483.37032000,2025-01-24 19:59:59.999,582989986.38644770,1070374,2868.44460000,305061794.81854090,0
2025-01-24 20:00:00,105760.93000000,105781.00000000,104456.89000000,104870.50000000,3295.43002000,2025-01-24 23:59:59.999,346247447.35401450,640187,1523.74773000,160087788.94249840,0
2025-01-25 00:00:00,104870.51000000,105280.82000000,104361.89000000,105202.40000000,2029.85839000,2025-01-25 03:59:59.999,212495941.13405540,360315,1056.10863000,110577690.91128550,0
2025-01-25 04:00:00,105202.40000000,105202.40000000,104216.81000000,104385.98000000,1407.20452000,2025-01-25 07:59:59.999,147074140.74655580,303337,628.59821000,65700799.74244880,0
2025-01-25 08:00:00,104385.99000000,104700.01000000,104106.09000000,104670.99000000,1254.59690000,2025-01-25 11:59:59.999,130965373.63469070,269678,642.19831000,67043469.45474250,0
2025-01-25 12:00:00,104670.99000000,105111.11000000,104456.00000000,104897.79000000,1464.11662000,2025-01-25 15:59:59.999,153367905.42902980,315327,744.56623000,77996684.97243080,0
2025-01-25 16:00:00,104897.79000000,105286.52000000,104449.75000000,105055.16000000,1831.57775000,2025-01-25 19:59:59.999,192089815.97415400,320857,880.85974000,92379151.77512860,0
2025-01-25 20:00:00,105055.16000000,105250.00000000,104696.00000000,104746.85000000,1080.96959000,2025-01-25 23:59:59.999,113518354.43931600,201251,510.27326000,53587199.52006040,0
2025-01-26 00:00:00,104746.86000000,105273.24000000,104503.70000000,105062.42000000,1315.60742000,2025-01-26 03:59:59.999,137839074.25116260,227337,724.13740000,75881803.85400680,0
2025-01-26 04:00:00,105062.41000000,105500.00000000,104950.00000000,104998.35000000,1228.94709000,2025-01-26 07:59:59.999,129179950.27059790,212403,631.98094000,66436142.28571150,0
2025-01-26 08:00:00,104998.36000000,105221.36000000,104444.01000000,104818.69000000,1340.56686000,2025-01-26 11:59:59.999,140410140.95234640,260160,631.18852000,66122717.88782300,0
2025-01-26 12:00:00,104818.68000000,105126.11000000,104703.58000000,104967.01000000,1136.95799000,2025-01-26 15:59:59.999,119295350.30067480,213966,660.62948000,69324710.92690650,0
2025-01-26 16:00:00,104967.02000000,105260.36000000,104896.00000000,105081.63000000,866.43502000,2025-01-26 19:59:59.999,91032860.50850760,188842,409.23095000,42999262.60467530,0
2025-01-26 20:00:00,105081.64000000,105200.00000000,102520.44000000,102620.00000000,3923.99800000,2025-01-26 23:59:59.999,406594989.18826300,710303,1585.00518000,164106452.77702660,0
2025-01-27 00:00:00,102620.01000000,103260.00000000,100720.53000000,101395.64000000,8353.88719000,2025-01-27 03:59:59.999,849469493.23898560,1503652,3746.94991000,381105547.03545720,0
2025-01-27 04:00:00,101395.64000000,101399.99000000,97777.77000000,99048.02000000,12651.63419000,2025-01-27 07:59:59.999,1259364955.18077890,1576060,5331.19038000,530521483.66481160,0
2025-01-27 08:00:00,99048.01000000,99533.33000000,98263.49000000,98761.13000000,6790.38919000,2025-01-27 11:59:59.999,672110256.44378360,1340740,3288.50392000,325545752.86039260,0
2025-01-27 12:00:00,98761.12000000,102317.94000000,98714.28000000,101112.03000000,11346.07460000,2025-01-27 15:59:59.999,1145142235.51675100,2235709,5731.24030000,578455374.38269050,0
2025-01-27 16:00:00,101112.03000000,101250.56000000,98864.00000000,99700.02000000,6873.59773000,2025-01-27 19:59:59.999,685571475.56688460,1549386,2963.51767000,295535090.77053590,0
2025-01-27 20:00:00,99700.01000000,102405.00000000,99606.46000000,102082.83000000,4742.55120000,2025-01-27 23:59:59.999,481227906.88206030,1163363,2467.82215000,250406512.12800600,0
2025-01-28 00:00:00,102082.83000000,102892.00000000,101334.55000000,102636.32000000,3670.23637000,2025-01-28 03:59:59.999,374813977.56928790,832457,1748.93323000,178635680.09141620,0
2025-01-28 04:00:00,102636.32000000,103371.24000000,102527.39000000,102789.72000000,2654.45746000,2025-01-28 07:59:59.999,273380067.14003550,543027,1298.84369000,133776289.00347820,0
2025-01-28 08:00:00,102789.72000000,103181.82000000,102393.94000000,102762.01000000,2051.60214000,2025-01-28 11:59:59.999,210861820.05321970,536553,1007.68147000,103574325.24093060,0
2025-01-28 12:00:00,102762.02000000,103800.00000000,101815.26000000,102777.99000000,5106.45100000,2025-01-28 15:59:59.999,524846223.68739980,1308769,2629.11583000,270315679.48662600,0
2025-01-28 16:00:00,102777.99000000,103108.00000000,101820.15000000,102424.24000000,4696.05403000,2025-01-28 19:59:59.999,481314138.98227910,1247430,2336.89418000,239536873.04054130,0
2025-01-28 20:00:00,102424.24000000,102538.00000000,100272.68000000,101335.52000000,3843.25665000,2025-01-28 23:59:59.999,388761096.60398720,960408,1735.17901000,175518803.42899530,0
2025-01-29 00:00:00,101335.52000000,102319.69000000,101328.01000000,102038.20000000,1696.38336000,2025-01-29 03:59:59.999,172677997.39803020,469104,779.67881000,79364213.87839980,0
2025-01-29 04:00:00,102038.21000000,102853.53000000,101955.51000000,102755.82000000,1764.20643000,2025-01-29 07:59:59.999,180648217.83470150,374651,942.74367000,96549459.96413060,0
2025-01-29 08:00:00,102755.81000000,103000.00000000,102180.65000000,102646.00000000,2209.71378000,2025-01-29 11:59:59.999,226744653.08593790,441607,1248.24435000,128088506.23059700,0
2025-01-29 12:00:00,102646.00000000,102842.04000000,101582.37000000,101980.78000000,4382.66276000,2025-01-29 15:59:59.999,447568403.73148790,1018611,1969.21848000,201136250.59908050,0
2025-01-29 16:00:00,101980.78000000,103999.00000000,101400.01000000,103583.99000000,7259.91780000,2025-01-29 19:59:59.999,745368226.43562920,1569966,3809.68016000,391304331.01852870,0
2025-01-29 20:00:00,103584.00000000,104782.68000000,102868.00000000,103733.24000000,5842.47389000,2025-01-29 23:59:59.999,607376196.28634950,1315760,2925.60635000,304193876.12363030,0
2025-01-30 00:00:00,103733.25000000,105300.00000000,103278.54000000,105196.00000000,3876.90317000,2025-01-30 03:59:59.999,404868395.65746790,720819,2264.89274000,236621632.63607670,0
